cve_ent,cve_mun,cve_loc,nom_loc
1,0,0,Aguascalientes
1,1,0,Aguascalientes
1,1,1,Aguascalientes
1,1,127,Los Caños
1,1,139,Cieneguilla (La Lumbrera)
1,1,239,General José María Morelos y Pavón (Cañada Honda)
1,1,315,Peñuelas (El Cienegal)
1,1,355,El Salto de los Salado
1,1,479,Villa Licenciado Jesús Terán (Calvillito)
1,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,1,9999,Localidad no especificada
1,2,0,Asientos
1,2,1,Asientos
1,2,11,Ciénega Grande
1,2,25,Guadalupe de Atlas
1,2,59,Villa Juárez
1,2,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,3,0,Calvillo
1,3,1,Calvillo
1,3,36,La Labor
1,3,43,Malpaso
1,3,55,Ojocaliente
1,3,60,La Panadera
1,3,74,La Rinconada
1,3,79,El Salitre
1,3,84,San Tadeo
1,3,110,Crucero las Pilas
1,3,381,Licenciado Adolfo López Mateos [Colonia]
1,3,385,El Morancillo (Los Arcos)
1,3,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,3,9999,Localidad no especificada
1,4,0,Cosío
1,4,1,Cosío
1,4,26,La Punta
1,4,30,El Salero
1,4,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,5,0,Jesús María
1,5,1,Jesús María
1,5,33,General Ignacio Zaragoza (Venadero)
1,5,41,Jesús Gómez Portugal (Margaritas)
1,5,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,5,9999,Localidad no especificada
1,6,0,Pabellón de Arteaga
1,6,1,Pabellón de Arteaga
1,6,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,6,9999,Localidad no especificada
1,7,0,Rincón de Romos
1,7,1,Rincón de Romos
1,7,30,Pabellón de Hidalgo
1,7,40,San Jacinto
1,7,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,7,9999,Localidad no especificada
1,8,0,San José de Gracia
1,8,1,San José de Gracia
1,8,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,9,0,Tepezalá
1,9,1,Tepezalá
1,9,25,San Antonio
1,9,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,10,0,El Llano
1,10,1,Palo Alto
1,10,80,Sandovales (San Miguel de los Sandovales)
1,10,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,11,0,San Francisco de los Romo
1,11,1,San Francisco de los Romo
1,11,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,998,0,No aplica
1,999,0,Municipio no especificado
1,999,9999,Localidad no especificada
2,0,0,Baja California
2,1,0,Ensenada
2,1,1,Ensenada
2,1,60,Camalú
2,1,95,Ejido Eréndira
2,1,114,Francisco Zarco (Valle de Guadalupe)
2,1,133,Lázaro Cárdenas
2,1,139,Rodolfo Sánchez Taboada (Maneadero)
2,1,247,El Sauzal de Rodríguez
2,1,268,Vicente Guerrero
2,1,857,San Quintín
2,1,1561,Ejido Papalote
2,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
2,1,9999,Localidad no especificada
2,2,0,Mexicali
2,2,1,Mexicali
2,2,110,Colonia Venustiano Carranza (La Carranza)
2,2,111,Vicente Guerrero (Algodones)
2,2,143,Ejido Colima 1
2,2,159,Delta (Estación Delta)
2,2,161,Ejido Monterrey (Colonia Batáquez)
2,2,166,Veracruz Uno
